FullName,ExecutiveTitle,Company,City,State,PostalCode,ISICDivision,IndustryDescription,Sales,Assets,Employees
Yao Peng,Vice Chairman of the Board,"Beijing Vantone Real Estate Co., Ltd",Beijing,Beijing,100020,41,Construction of buildings,310276.7,2295064,584
Yao Ping,Director,"Yingkou Port Liability Co.,Ltd",Yingkou,Liaoning,115007,52,Warehousing and support activities for transportation,634729.2,2777618,4454
Yao Ping,Director,"Guangzhou Zhite Electronic Technology Co., Ltd.",Guangzhou,Guangdong,510000,46,"Wholesale trade, except of motor vehicles and motorcycles",583.2,966,6
Yao Ping Zi,Vice Chairman of the Board,"Minmetals Development Co., Ltd.",Beijing,Beijing,100044,46,"Wholesale trade, except of motor vehicles and motorcycles",21840960,7550682,4370
Yao Qiang,Independent Director,United Science & Technology Co Ltd,Hangzhou,Zhejiang,310052,49,Land transport and transport via pipelines,286932.6,573327.3,966
Yao Qingguo,Independent Director,Aucma Co Ltd,Qingdao,Shandong,266510,27,Manufacture of electrical equipment,668915.6,484924.4,5836
Yao Qisheng,Chairman of the Board,Shanghai Kangda New Materials Co Ltd,Shanghai,Shanghai,201201,20,Manufacture of chemicals and chemical products,85570.6,125084.6,381
Yao Renquan,Independent Director,"Jiangsu Zongyi Co., Ltd",Nantong,Jiangsu,226376,26,"Manufacture of computer, electronic and optical products",115987.3,1059380,1167
Yao Ruohe,Independent Director,Guangdong Fenghua Adv. Tech. (Hldg) Co,Zhaoqing,Guangdong,526020,26,"Manufacture of computer, electronic and optical products",364870.2,819779.4,5330
Yao Shoutong,Director,ZYNP Corp,Jiaozuo,Henan,454750,29,"Manufacture of motor vehicles, trailers and semi-trailers",175946.6,401952,3468
Yao Shouyun,Chairman,"Shanghai Taqiu Trade Co., Ltd.",Shanghai,Shanghai,200433,82,"Office administrative, office support and other business support activities",28661.2,30293.2,35
Yao Shouyun,Chairman,"Shanghai Taqiu Trading Co., Ltd.",Shanghai,Shanghai,200433,46,"Wholesale trade, except of motor vehicles and motorcycles",16355.9,23647.9,35
Yao Taiping,Director,Shenzhen Liantronics Co Ltd,Shenzhen,Guangdong,518101,26,"Manufacture of computer, electronic and optical products",157461.1,330922.8,1371
Yao Wanyi,Independent Director,"HeBei Jinniu Chemical Industry Co.,Ltd",Cangzhou,Hebei,61108,20,Manufacture of chemicals and chemical products,228510.6,537203.9,2317
Yao Weibiao,Chairman of the Board,JiangXi ChangJiu Biochemical Indu Co Ltd,Nanchang,Jiangxi,330012,20,Manufacture of chemicals and chemical products,117811.2,100322.5,425
Yao Weimin,Director,"Lonkey Industrial Co., Ltd., Guangzhou",Guangzhou,Guangdong,510660,20,Manufacture of chemicals and chemical products,877931.5,485665.6,704
Yao Wenbin,Chairman of the Board,Ourpalm Co Ltd,Beijing,Beijing,100088,58,Publishing activities,125755.6,810094.8,1676
